ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,rp
-37,-45,-50,-56,-31,-44,-51,-59,1
-39,-45,-50,-55,-30,-45,-50,-60,1
-38,-44,-51,-56,-30,-45,-49,-59,1
-38,-44,-51,-55,-30,-43,-52,-59,1
-38,-46,-48,-56,-30,-45,-50,-59,1
-38,-48,-49,-56,-30,-45,-50,-58,1
-39,-44,-49,-56,-31,-45,-50,-57,1
-39,-44,-49,-56,-30,-46,-52,-58,1
-38,-46,-49,-56,-30,-44,-49,-57,1
-38,-47,-49,-58,-30,-45,-51,-58,1
-39,-48,-51,-56,-31,-45,-49,-58,1
-40,-48,-50,-57,-31,-45,-50,-57,1
-38,-44,-50,-55,-31,-44,-50,-58,1
-39,-45,-50,-58,-31,-45,-50,-57,1
-38,-45,-50,-58,-30,-45,-51,-58,1
-39,-48,-50,-57,-30,-45,-51,-58,1
-39,-48,-50,-55,-31,-44,-49,-58,1
-39,-45,-50,-57,-30,-44,-51,-57,1
-39,-47,-50,-56,-30,-45,-49,-57,1
-38,-44,-50,-55,-30,-45,-51,-58,1
-38,-45,-50,-55,-30,-44,-50,-57,1
-39,-45,-50,-57,-31,-45,-51,-58,1
-38,-46,-50,-56,-31,-45,-50,-58,1
-38,-48,-51,-55,-30,-44,-50,-57,1
-40,-48,-50,-56,-30,-45,-49,-59,1
-38,-47,-50,-56,-31,-45,-51,-57,1
-38,-47,-51,-57,-31,-45,-50,-57,1
-36,-45,-49,-55,-32,-44,-50,-58,1
-39,-44,-50,-55,-31,-44,-49,-57,1
-39,-44,-51,-56,-30,-44,-51,-57,1
-37,-44,-49,-55,-32,-44,-50,-59,1
-39,-45,-50,-56,-31,-44,-51,-58,1
-39,-45,-50,-56,-31,-45,-51,-57,1
-38,-44,-50,-57,-31,-43,-50,-58,1
-40,-45,-50,-57,-30,-45,-50,-58,1
-39,-47,-49,-56,-30,-45,-51,-58,1
-38,-44,-50,-56,-31,-44,-50,-58,1
-38,-47,-50,-56,-31,-45,-50,-58,1
-39,-44,-50,-57,-31,-44,-50,-58,1
-38,-47,-51,-56,-31,-45,-50,-57,1
-38,-44,-51,-57,-30,-45,-51,-57,1
-38,-47,-49,-57,-31,-44,-50,-58,1
-38,-47,-50,-57,-30,-44,-51,-59,1
-38,-47,-50,-57,-31,-44,-51,-58,1
-39,-44,-51,-56,-29,-44,-50,-57,1
-39,-47,-49,-56,-31,-44,-51,-58,1
-37,-43,-48,-54,-29,-41,-48,-55,1
-38,-47,-49,-55,-29,-44,-51,-57,1
-38,-44,-50,-55,-28,-43,-50,-56,1
-39,-47,-49,-55,-30,-45,-50,-58,1
-38,-46,-49,-54,-29,-44,-50,-57,1
-37,-45,-50,-55,-29,-44,-50,-60,1
-38,-44,-50,-55,-30,-44,-50,-60,1
-38,-47,-49,-57,-31,-44,-50,-58,1
-38,-44,-49,-55,-29,-43,-49,-59,1
-37,-43,-49,-54,-29,-43,-49,-59,1
-37,-44,-50,-55,-30,-44,-50,-59,1
-38,-45,-48,-55,-30,-44,-49,-57,1
-37,-46,-49,-56,-28,-43,-50,-57,1
-38,-44,-50,-56,-29,-43,-49,-56,1
-40,-50,-52,-58,-32,-46,-52,-60,1
-37,-44,-48,-55,-29,-43,-48,-57,1
-38,-43,-48,-55,-29,-42,-49,-56,1
-37,-42,-49,-55,-29,-43,-49,-58,1
-37,-45,-48,-55,-30,-42,-49,-57,1
-37,-46,-48,-56,-29,-43,-48,-58,1
-37,-43,-48,-55,-28,-43,-50,-57,1
-36,-42,-48,-54,-29,-42,-48,-58,1
-37,-46,-48,-55,-29,-43,-49,-57,1
-37,-46,-49,-55,-29,-43,-49,-59,1
-36,-46,-49,-54,-29,-43,-48,-58,1
-36,-42,-49,-55,-30,-43,-46,-58,1
-38,-44,-49,-56,-30,-44,-50,-59,1
-39,-44,-50,-56,-30,-45,-50,-57,1
-42,-45,-50,-55,-29,-43,-50,-58,1
-37,-47,-51,-54,-30,-43,-50,-59,1
-38,-45,-49,-56,-30,-44,-50,-60,1
-38,-44,-51,-54,-30,-45,-50,-60,1
-38,-47,-50,-56,-30,-44,-50,-58,1
-38,-42,-50,-55,-30,-44,-50,-59,1
-38,-45,-50,-55,-31,-44,-50,-59,1
-39,-44,-50,-55,-30,-43,-49,-60,1
-38,-45,-50,-55,-29,-44,-49,-59,1
-38,-44,-49,-55,-30,-43,-50,-60,1
-37,-45,-50,-54,-30,-44,-49,-58,1
-38,-44,-50,-56,-30,-44,-50,-58,1
-38,-45,-50,-55,-29,-44,-50,-59,1
-37,-47,-50,-55,-29,-44,-50,-58,1
-37,-47,-50,-55,-30,-44,-50,-58,1
-38,-45,-50,-56,-31,-43,-50,-58,1
-38,-46,-49,-56,-30,-44,-50,-59,1
-38,-44,-50,-54,-29,-44,-50,-58,1
-38,-44,-50,-55,-30,-45,-50,-58,1
-38,-44,-50,-55,-29,-44,-50,-60,1
-38,-45,-48,-54,-29,-45,-50,-59,1
-38,-43,-49,-56,-30,-44,-50,-59,1
-38,-43,-50,-57,-31,-45,-50,-59,1
-38,-48,-51,-57,-30,-44,-49,-59,1
-39,-44,-50,-56,-31,-45,-51,-59,1
-38,-45,-50,-56,-31,-44,-50,-60,1
-40,-43,-50,-55,-31,-46,-49,-61,1
-38,-47,-50,-56,-31,-44,-51,-60,1
-39,-45,-49,-59,-31,-45,-50,-59,1
-39,-48,-50,-62,-30,-44,-50,-58,1
-39,-45,-51,-58,-31,-45,-50,-60,1
-38,-45,-50,-56,-31,-44,-50,-57,1
-38,-47,-51,-56,-31,-45,-51,-57,1
-39,-44,-50,-56,-30,-44,-52,-56,1
-39,-47,-51,-60,-31,-44,-50,-56,1
-39,-47,-50,-62,-30,-45,-50,-55,1
-35,-42,-48,-59,-27,-41,-48,-54,1
-39,-47,-50,-61,-30,-45,-51,-57,1
-36,-47,-50,-61,-31,-42,-51,-57,1
-38,-45,-51,-62,-30,-45,-50,-57,1
-38,-47,-51,-62,-30,-45,-51,-57,1
-38,-44,-51,-61,-30,-45,-50,-58,1
-39,-47,-50,-60,-30,-45,-51,-57,1
-39,-45,-51,-57,-30,-45,-50,-57,1
-38,-44,-50,-59,-30,-46,-50,-57,1
-38,-48,-50,-59,-30,-45,-50,-58,1
-38,-46,-50,-57,-31,-46,-50,-58,1
-39,-47,-50,-57,-30,-45,-51,-59,1
-38,-45,-50,-56,-30,-44,-51,-57,1
-38,-45,-49,-56,-29,-43,-51,-57,1
-39,-44,-49,-58,-30,-45,-49,-58,1
-38,-46,-49,-57,-30,-44,-51,-58,1
-38,-45,-50,-59,-30,-44,-50,-57,1
-38,-44,-51,-60,-30,-44,-50,-57,1
-38,-47,-49,-61,-30,-43,-50,-58,1
-38,-47,-50,-60,-30,-44,-50,-57,1
-39,-48,-49,-57,-30,-44,-50,-57,1
-39,-47,-50,-56,-30,-43,-50,-57,1
-37,-44,-49,-56,-30,-44,-50,-58,1
-37,-44,-50,-54,-30,-44,-50,-57,1
-38,-45,-50,-56,-30,-45,-50,-57,1
-38,-43,-49,-56,-30,-45,-50,-57,1
-39,-44,-49,-56,-30,-44,-51,-58,1
-37,-44,-49,-55,-29,-42,-50,-56,1
-37,-44,-50,-55,-30,-43,-50,-57,1
-40,-47,-52,-58,-31,-45,-53,-59,1
-37,-44,-49,-55,-30,-43,-50,-57,1
-38,-44,-49,-56,-28,-41,-49,-56,1
-38,-44,-50,-55,-29,-44,-49,-56,1
-37,-44,-49,-55,-29,-44,-50,-56,1
-36,-43,-49,-55,-29,-43,-49,-57,1
-38,-47,-49,-56,-30,-44,-50,-58,1
-38,-46,-50,-57,-31,-45,-50,-57,1
-39,-47,-50,-56,-31,-44,-50,-59,1
-38,-47,-50,-55,-30,-45,-49,-58,1
-37,-45,-51,-57,-29,-45,-50,-59,1
-39,-44,-49,-57,-30,-43,-50,-57,1
-38,-47,-50,-55,-29,-43,-50,-59,1
-38,-44,-50,-55,-30,-45,-50,-57,1
-38,-44,-50,-56,-31,-44,-50,-59,1
-39,-47,-49,-55,-30,-45,-50,-57,1
-38,-44,-49,-55,-31,-45,-50,-57,1
-38,-44,-51,-56,-30,-44,-49,-59,1
-39,-45,-50,-56,-29,-46,-50,-59,1
-38,-44,-50,-58,-29,-44,-50,-57,1
-39,-45,-51,-60,-30,-45,-50,-57,1
-33,-44,-49,-60,-30,-44,-50,-58,1
-38,-48,-50,-59,-30,-44,-49,-56,1
-38,-47,-50,-59,-30,-45,-50,-57,1
-36,-44,-49,-56,-30,-42,-47,-57,1
-38,-45,-51,-55,-30,-41,-51,-57,1
-39,-44,-50,-55,-30,-44,-49,-58,1
-37,-44,-50,-55,-30,-45,-50,-57,1
-38,-47,-50,-56,-30,-45,-51,-58,1
-38,-45,-50,-59,-31,-45,-50,-57,1
-38,-46,-50,-59,-30,-44,-49,-57,1
-38,-45,-49,-59,-29,-43,-49,-54,1
-39,-44,-50,-59,-30,-45,-49,-57,1
-38,-44,-50,-59,-31,-44,-50,-56,1
-38,-45,-49,-59,-30,-45,-49,-57,1
-38,-47,-49,-59,-29,-45,-50,-57,1
-38,-47,-50,-59,-29,-44,-51,-56,1
-39,-44,-51,-60,-31,-44,-50,-58,1
-38,-45,-49,-57,-31,-45,-49,-58,1
-37,-44,-49,-56,-29,-44,-49,-56,1
-38,-44,-50,-57,-30,-45,-50,-57,1
-37,-46,-49,-56,-30,-44,-48,-57,1
-37,-45,-48,-58,-30,-44,-49,-56,1
-38,-47,-49,-55,-28,-44,-49,-56,1
-37,-47,-49,-60,-29,-44,-48,-57,1
-38,-43,-50,-57,-30,-45,-49,-57,1
-38,-44,-50,-55,-30,-44,-50,-58,1
-38,-47,-48,-56,-29,-44,-49,-58,1
-37,-45,-49,-56,-30,-42,-50,-60,1
-39,-44,-50,-56,-30,-44,-49,-60,1
-38,-47,-49,-56,-30,-44,-49,-60,1
-37,-47,-49,-57,-30,-44,-49,-59,1
-37,-46,-49,-57,-30,-43,-50,-59,1
-37,-43,-49,-56,-29,-44,-49,-59,1
-34,-47,-49,-57,-30,-43,-48,-59,1
-37,-46,-48,-58,-30,-44,-50,-58,1
-37,-46,-49,-57,-30,-43,-49,-58,1
-37,-43,-49,-57,-30,-44,-49,-60,1
-37,-44,-49,-58,-30,-43,-50,-58,1
